Date,Value
197301,144505.194
197302,139546.088
197303,137102.316
197304,131365.928
197305,131360.946
197306,140293.003
197307,152562.168
197308,157480.821
197309,157309.577
197310,146041.974
197311,138141.74
197312,137199.026
197313,1712908.781
197401,143986.102
197402,136737.112
197403,135951.806
197404,133007.088
197405,133077.165
197406,141930.937
197407,151511.234
197408,158112.467
197409,153619.101
197410,141355.276
197411,135783.782
197412,140851.656
197413,1705923.726
197501,149394.254
197502,142973.173
197503,140749.395
197504,135833.27
197505,133567.894
197506,142995.634
197507,154204.005
197508,160901.832
197509,157741.267
197510,141817.659
197511,139259.589
197512,147652.655
197513,1747090.627
197601,160538.972
197602,153548.606
197603,147464.833
197604,142310.388
197605,141804.01
197606,149038.662
197607,163006.465
197608,168630.829
197609,164411.861
197610,150984.548
197611,150740.813
197612,162766.107
197613,1855246.094
197701,172350.883
197702,165298.16
197703,156204.425
197704,147926.369
197705,148602.006
197706,159294.092
197707,174997.802
197708,178590.072
197709,172261.551
197710,159348.318
197711,151312.143
197712,162175.391
197713,1948361.212
197801,176649
197802,169927
197803,163406
197804,150385
197805,151504
197806,165519
197807,179114
197808,184223
197809,182638
197810,166722
197811,159126
197812,168709
197813,2017922
197901,185387
197902,181515
197903,173249
197904,161557
197905,159551
197906,166860
197907,178339
197908,187309
197909,179640
197910,165948
197911,162271
197912,169473
197913,2071099
198001,179585
198002,178721
198003,174373
198004,161701
198005,154851
198006,164872
198007,185882
198008,196464
198009,190139
198010,170080
198011,162174
198012,175607
198013,2094449
198101,191949.087
198102,182207.239
198103,172826.352
198104,163524.824
198105,163172.827
198106,178827.384
198107,197814.44
198108,198459.287
198109,186250.025
198110,171349.69
198111,165016.324
198112,175705.384
198113,2147102.862
198201,192079.166
198202,182805.174
198203,173959.12
198204,164511.66
198205,158569.4
198206,168739.125
198207,183566.97
198208,189740.405
198209,178295.927
198210,163416.303
198211,160479.567
198212,170278.534
198213,2086441.352
198301,179175.753
198302,173464.871
198303,167583.542
198304,163807.406
198305,158919.003
198306,171604.279
198307,194153.338
198308,208115.006
198309,201922.127
198310,176307.148
198311,170473.691
198312,185428.408
198313,2150954.584
198401,207251.507
198402,190869.475
198403,186072.361
198404,175350.115
198405,175542.351
198406,189758.447
198407,204473.661
198408,209045.694
198409,199021.37
198410,182285.344
198411,178588.865
198412,187537.204
198413,2285796.394
198501,202596.81
198502,202266.299
198503,186112.884
198504,178530.004
198505,178781.45
198506,190305.001
198507,205200.802
198508,210659.871
198509,206261.505
198510,184730.409
198511,180229.353
198512,198299.464
198513,2323973.852
198601,210263.508
198602,195153.731
198603,188990.1
198604,178470.133
198605,179570.221
198606,197388.693
198607,219272.37
198608,218394.066
198609,204297.256
198610,194192.802
198611,181790.958
198612,200969.214
198613,2368753.052
198701,209720.811
198702,198217.944
198703,193654.772
198704,184761.197
198705,189107.152
198706,207917.428
198707,229302.521
198708,235513.081
198709,216522.623
198710,197233.528
198711,190326.014
198712,204995.148
198713,2457272.219
198801,225773.605
198802,215080.697
198803,205160.422
198804,192616.205
198805,191480.261
198806,212998.244
198807,237528.931
198808,250489.194
198809,226305.325
198810,205505.011
198811,199125.681
198812,215998.919
198813,2578062.495
198901,225616.62
198902,214979.35
198903,216617.827
198904,201925.084
198905,201923.138
198906,221786.266
198907,240292.519
198908,243644.17
198909,231944.258
198910,211493.549
198911,205737.59
198912,230848.961
198913,2646809.332
199001,240881.327
199002,213403.966
199003,214120.096
199004,205165.163
199005,208222.226
199006,226986.083
199007,251533.156
199008,252065.399
199009,245079.513
199010,222300.648
199011,209915.55
199012,222881.538
199013,2712554.665
199101,241253.104
199102,219193.677
199103,214226.36
199104,206371.295
199105,217318.019
199106,237962.575
199107,256933.152
199108,258199.158
199109,244419.402
199110,221557.126
199111,216712.435
199112,227856.737
199113,2762003.04
199201,238763.788
199202,226232.997
199203,220009.053
199204,211961.889
199205,213685.272
199206,227278.846
199207,253088.372
199208,252990.27
199209,239990.416
199210,224791.93
199211,218506.162
199212,236066.451
199213,2763365.446
199301,243247.333
199302,228478.474
199303,232674.669
199304,215829.241
199305,214565.017
199306,237348.981
199307,270211.02
199308,273829.759
199309,252687.495
199310,228327.168
199311,222940.959
199312,241322.224
199313,2861462.34
199401,259857.615
199402,238851.78
199403,231781.978
199404,220068.418
199405,222049.289
199406,252721.089
199407,278007.365
199408,272838.916
199409,254884.234
199410,233755.193
199411,226527.58
199412,243219.407
199413,2934562.864
199501,255280.501
199502,239138.569
199503,236465.206
199504,221858.659
199505,229588.579
199506,255009.917
199507,281546.274
199508,298999.754
199509,265986.022
199510,241052.559
199511,235478.586
199512,252881.963
199513,3013286.589
199601,272181.765
199602,256103.973
199603,249033.173
199604,230337.355
199605,239667.208
